GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=acc_dam,1
16,num_simulations=1,2
16,sheet=3,1
21,scale=100,2
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,2
41,muR=12,1
41,sigmaR=1,0
84,gamma=0.45,4
84,vMax=700.0,1
84,beta=-0.8,1
165,FILLER,3
165,FILLER,2
165,FILLER,5
333,FILLER,5
333,FILLER,3
333,FILLER,9
660,FILLER,13
660,FILLER,16
660,FILLER,19
1320,FILLER,25
1320,FILLER,42
1320,FILLER,33
2010,FILLER,65
2010,FILLER,69
2010,FILLER,74
2670,FILLER,105
2670,FILLER,120
2670,FILLER,121
3329,FILLER,187
3329,FILLER,168
3329,FILLER,172
3990,FILLER,267
3990,FILLER,281
3990,FILLER,258
4679,FILLER,415
4679,FILLER,367
4679,FILLER,403
5340,FILLER,497
5340,FILLER,508
5340,FILLER,540
6000,FILLER,676
6000,FILLER,682
6000,FILLER,646
6600,FILLER,839
6600,FILLER,821
6600,FILLER,838
16500,FILLER,2273
16500,FILLER,2279
16500,FILLER,2282
30570,FILLER,2300
30570,FILLER,2300
30570,FILLER,2300
50099,FILLER,2300
50099,FILLER,2300
50099,FILLER,2300
66630,FILLER,2300
66630,FILLER,2300
66630,FILLER,2300
99899,FILLER,2300
99899,FILLER,2300
99899,FILLER,2300
133179,FILLER,2300
133179,FILLER,2300
133179,FILLER,2300
150000,FILLER,2300
150000,FILLER,2300
150000,FILLER,2300
