GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
327,simul_name=clump_comp,1,8,2
327,num_simulations=3,5,4,4
327,sheet=7,4,5,4
450,scale=50,3,1,4
450,cell_count=3400,7,5,5
450,muG=0,12,12,4
619,sigmaG=1,6,12,9
619,muR=12,8,7,11
619,sigmaR=1,1,11,9
850,gamma=0.45,14,13,6
850,vMax=10000.0,12,13,14
850,remove=1,11,11,13
1166,scheme=sphere_packing,10,13,22
1166,distribution=fixed,16,24,17
1166,ub=300,14,21,21
1600,lb=150,24,25,7
1600,mean=230,28,10,15
1600,kappa=0.0,17,23,16
2192,FILLER,34,21,20
2192,FILLER,26,29,26
2192,FILLER,26,31,38
3002,FILLER,35,42,25
3002,FILLER,48,24,60
3002,FILLER,35,39,39
4106,FILLER,34,50,50
4106,FILLER,41,61,48
4106,FILLER,45,35,45
5614,FILLER,93,89,70
5614,FILLER,76,75,51
5614,FILLER,79,73,77
7668,FILLER,125,83,87
7668,FILLER,90,90,104
7668,FILLER,111,91,99
10466,FILLER,128,120,136
10466,FILLER,128,127,128
10466,FILLER,112,128,136
14274,FILLER,190,173,186
14274,FILLER,193,180,165
14274,FILLER,167,193,159
19452,FILLER,216,220,243
19452,FILLER,255,239,234
19452,FILLER,247,258,219
26488,FILLER,299,312,362
26488,FILLER,320,279,294
26488,FILLER,352,324,342
36043,FILLER,426,386,421
36043,FILLER,425,396,451
36043,FILLER,440,431,412
49006,FILLER,555,571,556
49006,FILLER,571,514,535
49006,FILLER,544,576,598
66581,FILLER,730,723,773
66581,FILLER,737,735,788
66581,FILLER,754,715,754
90392,FILLER,991,999,995
90392,FILLER,965,966,949
90392,FILLER,990,919,986
122626,FILLER,1213,1230,1263
122626,FILLER,1244,1279,1242
122626,FILLER,1220,1219,1232
166231,FILLER,1512,1508,1523
166231,FILLER,1531,1466,1527
166231,FILLER,1519,1469,1527
225177,FILLER,1814,1848,1901
225177,FILLER,1892,1899,1814
225177,FILLER,1864,1891,1867
304800,FILLER,2168,2208,2145
304800,FILLER,2213,2234,2217
304800,FILLER,2231,2223,2212
