GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
327,simul_name=clump_comp,28,20,26
327,num_simulations=3,12,24,21
327,sheet=7,19,26,20
450,scale=50,37,33,31
450,cell_count=3400,31,34,33
450,muG=0,36,32,27
619,sigmaG=1,56,62,47
619,muR=12,59,47,51
619,sigmaR=1,49,53,51
850,gamma=0.45,56,78,72
850,vMax=10000.0,70,71,64
850,remove=1,82,52,70
1166,scheme=sphere_packing,108,90,87
1166,distribution=fixed,84,93,85
1166,ub=300,81,89,95
1600,lb=150,125,118,120
1600,mean=230,104,140,128
1600,kappa=-3.0,139,120,131
2192,FILLER,184,185,150
2192,FILLER,183,158,172
2192,FILLER,189,167,164
3002,FILLER,264,233,233
3002,FILLER,232,209,267
3002,FILLER,211,229,237
4106,FILLER,282,294,327
4106,FILLER,302,292,313
4106,FILLER,317,337,290
5614,FILLER,400,392,433
5614,FILLER,457,447,445
5614,FILLER,387,423,389
7668,FILLER,562,524,513
7668,FILLER,570,562,532
7668,FILLER,514,538,544
10466,FILLER,708,738,748
10466,FILLER,726,743,738
10466,FILLER,707,689,729
14274,FILLER,936,928,912
14274,FILLER,931,958,962
14274,FILLER,980,941,950
19452,FILLER,1190,1244,1202
19452,FILLER,1223,1189,1239
19452,FILLER,1224,1215,1210
26488,FILLER,1523,1524,1616
26488,FILLER,1579,1590,1543
26488,FILLER,1566,1589,1589
36043,FILLER,1872,1958,1919
36043,FILLER,1881,1947,1921
36043,FILLER,1967,1970,1937
49006,FILLER,2318,2301,2276
49006,FILLER,2295,2241,2262
49006,FILLER,2278,2243,2268
66581,FILLER,2649,2598,2652
66581,FILLER,2647,2625,2630
66581,FILLER,2670,2672,2616
90392,FILLER,2936,2937,2976
90392,FILLER,2935,2971,2932
90392,FILLER,2956,2968,2975
122626,FILLER,3155,3186,3178
122626,FILLER,3194,3172,3174
122626,FILLER,3136,3155,3178
166231,FILLER,3294,3317,3297
166231,FILLER,3314,3316,3323
166231,FILLER,3305,3311,3290
225177,FILLER,3375,3374,3372
225177,FILLER,3361,3369,3377
225177,FILLER,3366,3372,3372
304800,FILLER,3393,3394,3396
304800,FILLER,3389,3395,3398
304800,FILLER,3393,3398,3397
