GFP genomes (scaled),Parameters,GFP IU run=0,GFP IU run=1,GFP IU run=2
327,simul_name=clump_comp,20,25,17
327,num_simulations=3,19,20,20
327,sheet=7,25,22,18
450,scale=50,23,30,25
450,cell_count=3400,36,32,24
450,muG=0,19,24,29
619,sigmaG=1,38,32,49
619,muR=12,39,49,34
619,sigmaR=1,29,37,39
850,gamma=0.45,44,56,49
850,vMax=10000.0,50,66,56
850,remove=1,50,54,45
1166,scheme=sphere_packing,59,82,63
1166,distribution=fixed,89,71,82
1166,ub=300,73,54,75
1600,lb=150,93,95,99
1600,mean=230,104,97,99
1600,kappa=-2.0,90,102,91
2192,FILLER,126,125,136
2192,FILLER,141,116,98
2192,FILLER,143,141,149
3002,FILLER,181,195,205
3002,FILLER,187,194,215
3002,FILLER,217,162,191
4106,FILLER,241,218,242
4106,FILLER,242,264,241
4106,FILLER,286,275,238
5614,FILLER,334,368,361
5614,FILLER,340,325,323
5614,FILLER,323,319,381
7668,FILLER,476,435,440
7668,FILLER,444,453,456
7668,FILLER,457,435,461
10466,FILLER,617,627,570
10466,FILLER,607,614,599
10466,FILLER,597,601,619
14274,FILLER,804,778,762
14274,FILLER,807,769,807
14274,FILLER,816,835,746
19452,FILLER,1039,1042,1056
19452,FILLER,1023,1040,1013
19452,FILLER,1039,1041,1002
26488,FILLER,1297,1338,1337
26488,FILLER,1294,1332,1334
26488,FILLER,1359,1345,1341
36043,FILLER,1621,1608,1725
36043,FILLER,1595,1663,1674
36043,FILLER,1653,1650,1670
49006,FILLER,1949,2046,1996
49006,FILLER,1991,1977,2017
49006,FILLER,2003,1998,2037
66581,FILLER,2385,2386,2396
66581,FILLER,2396,2420,2394
66581,FILLER,2389,2400,2376
90392,FILLER,2701,2697,2729
90392,FILLER,2744,2730,2767
90392,FILLER,2742,2753,2760
122626,FILLER,3046,3035,3025
122626,FILLER,3031,3029,3007
122626,FILLER,3025,3002,3025
166231,FILLER,3217,3189,3228
166231,FILLER,3223,3227,3202
166231,FILLER,3241,3238,3189
225177,FILLER,3327,3325,3342
225177,FILLER,3308,3323,3339
225177,FILLER,3315,3336,3323
304800,FILLER,3369,3371,3369
304800,FILLER,3379,3377,3376
304800,FILLER,3377,3380,3372
