GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=comp,0
16,num_simulations=1,0
16,sheet=3,0
21,scale=100,0
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,0
41,muR=12,1
41,sigmaR=1,1
84,gamma=0.45,1
84,vMax=800.0,4
84,remove=1,0
165,kappa=-0.03,5
165,FILLER,1
165,FILLER,2
333,FILLER,10
333,FILLER,7
333,FILLER,11
660,FILLER,13
660,FILLER,25
660,FILLER,19
1320,FILLER,50
1320,FILLER,53
1320,FILLER,51
2010,FILLER,80
2010,FILLER,114
2010,FILLER,117
2670,FILLER,141
2670,FILLER,150
2670,FILLER,159
3329,FILLER,268
3329,FILLER,275
3329,FILLER,229
3990,FILLER,282
3990,FILLER,426
3990,FILLER,319
4679,FILLER,379
4679,FILLER,359
4679,FILLER,381
5340,FILLER,562
5340,FILLER,663
5340,FILLER,387
6000,FILLER,869
6000,FILLER,724
6000,FILLER,617
6600,FILLER,820
6600,FILLER,629
6600,FILLER,726
16500,FILLER,1947
16500,FILLER,1771
16500,FILLER,1829
30570,FILLER,2160
30570,FILLER,2141
30570,FILLER,2150
50099,FILLER,2239
50099,FILLER,2226
50099,FILLER,2224
66630,FILLER,2273
66630,FILLER,2255
66630,FILLER,2264
99899,FILLER,2293
99899,FILLER,2291
99899,FILLER,2292
133179,FILLER,2299
133179,FILLER,2297
133179,FILLER,2299
150000,FILLER,2295
150000,FILLER,2298
150000,FILLER,2296
