GFP genomes (scaled),Parameters,GFP IU run=0
16,simul_name=comp,1
16,num_simulations=1,0
16,sheet=3,0
21,scale=100,0
21,cell_count=2300,0
21,muG=0,0
41,sigmaG=1,2
41,muR=12,0
41,sigmaR=1,2
84,gamma=0.45,0
84,vMax=800.0,0
84,remove=1,5
165,kappa=-0.05,3
165,FILLER,4
165,FILLER,4
333,FILLER,10
333,FILLER,8
333,FILLER,12
660,FILLER,13
660,FILLER,18
660,FILLER,17
1320,FILLER,45
1320,FILLER,67
1320,FILLER,54
2010,FILLER,109
2010,FILLER,103
2010,FILLER,95
2670,FILLER,203
2670,FILLER,200
2670,FILLER,168
3329,FILLER,270
3329,FILLER,262
3329,FILLER,208
3990,FILLER,490
3990,FILLER,400
3990,FILLER,443
4679,FILLER,563
4679,FILLER,652
4679,FILLER,599
5340,FILLER,728
5340,FILLER,805
5340,FILLER,798
6000,FILLER,805
6000,FILLER,818
6000,FILLER,990
6600,FILLER,1037
6600,FILLER,1060
6600,FILLER,1086
16500,FILLER,1899
16500,FILLER,1950
16500,FILLER,1954
30570,FILLER,2163
30570,FILLER,2183
30570,FILLER,2175
50099,FILLER,2249
50099,FILLER,2254
50099,FILLER,2261
66630,FILLER,2268
66630,FILLER,2263
66630,FILLER,2291
99899,FILLER,2287
99899,FILLER,2290
99899,FILLER,2290
133179,FILLER,2294
133179,FILLER,2300
133179,FILLER,2295
150000,FILLER,2297
150000,FILLER,2300
150000,FILLER,2299
