GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
10.0,simul_name=clump,0,17,0,14,0,6,0,14,0,8,0,16,0,8,0,8,0,4,0,6
20.0,num_simulations=10,0,20,0,36,0,25,0,23,0,34,0,25,0,28,0,24,0,24,0,20
30.0,scale=1.0,0,29,0,44,1,28,0,49,0,37,0,42,1,36,0,47,0,37,0,37
40.0,cell_count=1000.0,0,47,0,34,1,56,0,83,0,43,0,74,0,46,0,54,0,66,0,48
50.0,muG=0.0,0,98,1,78,0,90,1,84,0,86,0,79,2,80,1,80,0,104,0,74
60.0,sigmaG=1.0,2,112,0,98,0,117,1,117,0,114,1,102,1,141,2,131,0,76,2,109
70.0,muR=12.0,0,149,0,140,0,127,0,136,0,139,0,121,1,129,0,127,1,140,0,134
80.0,sigmaR=1.0,2,186,0,133,0,155,0,127,0,161,0,172,0,166,0,174,0,164,0,186
90.0,gamma=0.45,1,193,1,167,0,210,1,177,1,183,1,227,2,219,2,132,2,190,0,169
100.0,vMax=1000.0,1,212,2,221,1,229,0,279,4,247,0,247,1,234,1,217,1,224,3,217
200.0,remove=1,4,687,2,607,4,678,3,651,7,638,5,696,4,637,6,682,6,692,5,681
300.0,distribution=poisson,5,1290,9,1363,5,1179,10,1256,3,1237,3,1125,7,1259,8,1291,7,1266,7,1300
400.0,fixed_mean=False,15,1929,8,2263,14,2181,9,2142,12,2104,8,2031,14,1955,14,2135,10,2162,10,2123
500.0,vMax_c=100.0,20,2943,12,3005,21,2903,18,3116,19,2892,15,2752,16,3076,7,3178,16,3193,18,3319
600.0,FILLER,17,4563,15,3839,20,4338,23,4061,29,4057,32,4131,18,4414,22,4315,22,4278,16,4393
700.0,FILLER,28,5665,25,5369,23,5335,27,5557,34,5597,24,5555,27,5147,19,5166,23,5099,28,5362
800.0,FILLER,34,6903,39,6961,41,7093,29,6550,44,7255,41,6637,46,6867,43,7076,44,7267,35,6947
900.0,FILLER,32,8555,39,8284,40,8801,49,9185,38,8946,37,8693,41,8451,56,8816,48,8947,49,8883
