GFP genomes,GFP IU,Parameters
163,11,cell_count=1700
163,4,muG=0
163,8,sigmaG=1
225,12,muR=12
225,15,sigmaR=1
225,9,gamma=0.45
309,7,vMax=1000
309,18,scale=100
309,20,scheme=regular_polygon
425,20,dist=normal
425,22,vd_mean=230
425,22,FILLER
583,30,FILLER
583,24,FILLER
583,30,FILLER
800,44,FILLER
800,36,FILLER
800,36,FILLER
1096,67,FILLER
1096,45,FILLER
1096,49,FILLER
1501,65,FILLER
1501,76,FILLER
1501,61,FILLER
2053,94,FILLER
2053,106,FILLER
2053,117,FILLER
2807,127,FILLER
2807,138,FILLER
2807,133,FILLER
3834,160,FILLER
3834,192,FILLER
3834,174,FILLER
5233,238,FILLER
5233,241,FILLER
5233,228,FILLER
7137,331,FILLER
7137,326,FILLER
7137,329,FILLER
9726,392,FILLER
9726,424,FILLER
9726,380,FILLER
13244,526,FILLER
13244,533,FILLER
13244,553,FILLER
18021,694,FILLER
18021,686,FILLER
18021,650,FILLER
24503,819,FILLER
24503,848,FILLER
24503,863,FILLER
33290,1015,FILLER
33290,1059,FILLER
33290,1018,FILLER
45196,1192,FILLER
45196,1183,FILLER
45196,1176,FILLER
61313,1378,FILLER
61313,1339,FILLER
61313,1331,FILLER
83115,1472,FILLER
83115,1476,FILLER
83115,1489,FILLER
112588,1591,FILLER
112588,1568,FILLER
112588,1586,FILLER
152400,1645,FILLER
152400,1649,FILLER
152400,1638,FILLER
